model,metric,mean,std,ci_lo,ci_hi,n_seeds
qr_target_only,sMAPE,1.9953485050006947,0.00275630215052018,1.992785534173814,1.9994845576971139,5
qr_target_only,MASE,0.8518602626593417,0.12054044037182747,0.6723866444089985,0.9482060648459418,5
qr_target_only,pinball_loss,0.1324062611434964,0.012989108821680502,0.11446564276628174,0.14531987668039303,5
qr_target_only,crps,0.2648125222869928,0.025978217643361005,0.22893128553256348,0.29063975336078607,5
qr_target_only,coverage,0.8240652032005074,0.058882586791369665,0.7672777615144418,0.8897475369458128,5
qr_target_only,width,1.1166404910095593,0.11938292820545872,0.975391773402143,1.2662395234175103,5
qr_target_only,winkler,1.8949836533137236,0.17621557741415025,1.6744145891253064,2.086010480041112,5
qr_target_only,train_time_s,0.3733304758000031,0.04907699631195576,0.3281898679000051,0.4269259395000063,5
qr_target_only,inference_time_s,0.00025558520001141006,3.033905323647034e-05,0.00022630080001135867,0.00028784989998484887,5
qr_transfer,MAE,0.42307106694090385,0.03796087631733406,0.37238340771545064,0.4658528648173767,5
qr_transfer,RMSE,0.7781457746857413,0.06052350067205316,0.6900362903279476,0.8307964026872803,5
qr_transfer,sMAPE,1.8515761438305076,0.014759099859834543,1.8317133285759,1.867045825153639,5
qr_transfer,MASE,0.862297214653522,0.1072643109079889,0.7095057393421896,0.9567600796992105,5
qr_transfer,pinball_loss,0.14918698347068188,0.011088346914733435,0.13401895199176186,0.16120364592536524,5
qr_transfer,crps,0.29837396694136376,0.02217669382946687,0.26803790398352373,0.32240729185073047,5
qr_transfer,coverage,0.8781473797644503,0.022669349702183227,0.8501714544513458,0.9055803571428572,5
qr_transfer,width,1.633399896989923,0.12605331154488003,1.4671978057688828,1.7558902985914644,5
qr_transfer,winkler,2.4716930763597267,0.11063396622877886,2.3381627043976283,2.611619463137733,5
qr_transfer,train_time_s,0.42063382179997005,0.07462045465061865,0.3516823205000037,0.5255992491000029,5
qr_transfer,inference_time_s,0.00025487440004781094,3.0817122259985684e-05,0.00022321580004245334,0.0002950625000266882,5
